11,0.0546,-16.126,,-15.726,,-15.626,,-15.526,,-15.126,,-11.176,,-10.776,,-10.676,,-10.576,,-10.176,,-16.176,,-15.776,,-15.676,,-15.576,,-15.176,,-11.176,,-10.776,,-10.676,,-10.576,,-10.176
12,0.0546,-42.47065,,-42.07065,,-41.97065,,-41.87065,,-41.47065,,-40.368,,-39.968,,-39.868,,-39.768,,-39.368,,-42.47065,,-42.07065,,-41.97065,,-41.87065,,-41.47065,,-40.368,,-39.968,,-39.868,,-39.768,,-39.368
13,0.0546,-39.487,,-39.087,,-38.987,,-38.887,,-38.487,,-34.487,,-34.087,,-33.987,,-33.887,,-33.487,,-39.487,,-39.087,,-38.987,,-38.887,,-38.487,,-34.987,,-34.587,,-34.487,,-34.387,,-33.987
14,0.0546,-33.611,,-33.211,,-33.111,,-33.011,,-32.611,,-28.611,,-28.211,,-28.111,,-28.011,,-27.611,,-33.611,,-33.211,,-33.111,,-33.011,,-32.611,,-29.111,,-28.711,,-28.611,,-28.511,,-28.111
15,0.0546,-27.748,,-27.348,,-27.248,,-27.148,,-26.748,,-22.748,,-22.348,,-22.248,,-22.148,,-21.748,,-27.748,,-27.348,,-27.248,,-27.148,,-26.748,,-23.298,,-22.898,,-22.798,,-22.698,,-22.298
16,0.0546,-21.662,,-21.262,,-21.162,,-21.062,,-20.662,,-16.912,,-16.512,,-16.412,,-16.312,,-15.912,,-21.912,,-21.512,,-21.412,,-21.312,,-20.912,,-17.462,,-17.062,,-16.962,,-16.862,,-16.462
17,0.0546,-15.626,,-15.226,,-15.126,,-15.026,,-14.626,,-11.176,,-10.776,,-10.676,,-10.576,,-10.176,,-16.176,,-15.776,,-15.676,,-15.576,,-15.176,,-11.976,,-11.576,,-11.476,,-11.376,,-10.976
18,0.0546,-42.47065,,-42.07065,,-41.97065,,-41.87065,,-41.47065,,-42.47065,,-42.07065,,-41.97065,,-41.87065,,-41.47065,,-42.168,,-41.768,,-41.668,,-41.568,,-41.168,,-40.868,,-40.468,,-40.368,,-40.268,,-39.868
19,0.0546,-38.987,,-38.587,,-38.487,,-38.387,,-37.987,,-34.487,,-34.087,,-33.987,,-33.887,,-33.487,,-39.487,,-39.087,,-38.987,,-38.887,,-38.487,,-34.587,,-34.187,,-34.087,,-33.987,,-33.587
20,0.0546,-33.461,,-33.061,,-32.961,,-32.861,,-32.461,,-31.361,,-30.961,,-30.861,,-30.761,,-30.361,,-30.511,,-30.111,,-30.011,,-29.911,,-29.511,,-28.611,,-28.211,,-28.111,,-28.011,,-27.611
21,0.0546,-27.598,,-27.198,,-27.098,,-26.998,,-26.598,,-25.348,,-24.948,,-24.848,,-24.748,,-24.348,,-24.748,,-24.348,,-24.248,,-24.148,,-23.748,,-22.748,,-22.348,,-22.248,,-22.148,,-21.748
22,0.0546,-21.812,,-21.412,,-21.312,,-21.212,,-20.812,,-16.912,,-16.512,,-16.412,,-16.312,,-15.912,,-21.912,,-21.512,,-21.412,,-21.312,,-20.912,,-16.912,,-16.512,,-16.412,,-16.312,,-15.912
22,0.0546,-21.812,,-21.412,,-21.312,,-21.212,,-20.812,,-16.912,,-16.512,,-16.412,,-16.312,,-15.912,,-21.912,,-21.512,,-21.412,,-21.312,,-20.912,,-16.912,,-16.512,,-16.412,,-16.312,,-15.912
12,1.42959,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544,,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544,,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544,,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544
13,1.42959,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544,,-34.487,,-34.087,,-33.987,,-33.887,,-33.487,,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544,,-34.987,,-34.587,,-34.487,,-34.387,,-33.987
14,1.42959,-33.611,,-33.211,,-33.111,,-33.011,,-32.611,,-28.611,,-28.211,,-28.111,,-28.011,,-27.611,,-33.611,,-33.211,,-33.111,,-33.011,,-32.611,,-29.111,,-28.711,,-28.611,,-28.511,,-28.111
15,1.42959,-27.748,,-27.348,,-27.248,,-27.148,,-26.748,,-22.748,,-22.348,,-22.248,,-22.148,,-21.748,,-27.748,,-27.348,,-27.248,,-27.148,,-26.748,,-23.298,,-22.898,,-22.798,,-22.698,,-22.298
16,1.42959,-21.662,,-21.262,,-21.162,,-21.062,,-20.662,,-16.912,,-16.512,,-16.412,,-16.312,,-15.912,,-21.912,,-21.512,,-21.412,,-21.312,,-20.912,,-17.462,,-17.062,,-16.962,,-16.862,,-16.462
17,1.42959,-15.626,,-15.226,,-15.126,,-15.026,,-14.626,,-11.176,,-10.776,,-10.676,,-10.576,,-10.176,,-16.176,,-15.776,,-15.676,,-15.576,,-15.176,,-11.976,,-11.576,,-11.476,,-11.376,,-10.976
18,1.42959,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544,,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544,,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544,,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544
19,1.42959,-38.987,,-38.587,,-38.487,,-38.387,,-37.987,,-34.487,,-34.087,,-33.987,,-33.887,,-33.487,,-39.36544,,-38.96544,,-38.86544,,-38.76544,,-38.36544,,-34.587,,-34.187,,-34.087,,-33.987,,-33.587
